Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Museo Alfa Romeo: finalmente il TAR ha respinto il vergognoso ricorso contro il vincolo.,https://forum.quattroruote.it/threads/museo-alfa-romeo-finalmente-il-tar-ha-respinto-il-vergognoso-ricorso-contro-il-vincolo.49441/page-194,2013-05-28 00:00:00,Kren2,"Nardo-Leo ha scritto: SZ. ha scritto: Nardo-Leo ha scritto: fpaol68 ha scritto: Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati.... Quando si parla dell'immenso patrimonio artistico che abbiamo in Italia chissà perchè tutti pensano agli Uffiz al Colosse a Pompei ed Ercolan ai bronzi di Riac ecc..... Ma al museo Alfa Romeo n non ci pensa nessuno.................... ... Ti ho dato una stell solo perchè non era possibile dartene meno: met una punta... ... Non proccupart dammi tutte le stelline che vuoi ho già detto diverse volte che non le guardo nemmeno. Non ho nessuna tesi particolare da esporre. Volevo semplicemente dire che quando si pensa all'arte italian o come ha scritto fpaol. all'ingegno ed al genio del popolo italiano il pensiero va subito a Dant a Giott a Leonardo (che mi onoro di avere come avatar a Botticell a Michelangel a Raffaello e atutti gli altri che sarebbe troppo lungo mensionare. Con questo non voglio dire che le auto non possono essere considerate una forma di art ma soltanto che non sono la prima cosa che si associa alla parola arte. Non c'è nessuna polemica o tentativo di screditare il museo Alfa Romeo.... Anche le aut per espressa previsione del legislator godono della tutela riservata ai beni artistici e culturali. Il tuo ragionamento mi sembra un pò troppo superficiale. Le auto fanno parte della cultura di un popolo. A maggior ragione se parliamo di auto sportive italiane. E senza ombra di dubbio se parliamo di Alfa storiche!... Non lo stò negand l'ho anche detto. Dico solo che le auto non sono la prima cosa a cui si pensa parlando della cultura di un popolo. "" Nardo-Leo ha scritto: SZ. ha scritto: Nardo-Leo ha scritto: fpaol68 ha scritto: Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati.... Quando si parla dell'immenso patrimonio artistico che abbiamo in Italia chissà perchè tutti pensano agli Uffiz al Colosse a Pompei ed Ercolan ai bronzi di Riac ecc..... Ma al museo Alfa Romeo n non ci pensa nessuno.................... ... Ti ho dato una stell solo perchè non era possibile dartene meno: met una punta... ... Non proccupart dammi tutte le stelline che vuoi ho già detto diverse volte che non le guardo nemmeno. Non ho nessuna tesi particolare da esporre. Volevo semplicemente dire che quando si pensa all'arte italian o come ha scritto fpaol. all'ingegno ed al genio del popolo italiano il pensiero va subito a Dant a Giott a Leonardo (che mi onoro di avere come avatar a Botticell a Michelangel a Raffaello e atutti gli altri che sarebbe troppo lungo mensionare. Con questo non voglio dire che le auto non possono essere considerate una forma di art ma soltanto che non sono la prima cosa che si associa alla parola arte. Non c'è nessuna polemica o tentativo di screditare il museo Alfa Romeo.... Anche le aut per espressa previsione del legislator godono della tutela riservata ai beni artistici e culturali. Il tuo ragionamento mi sembra un pò troppo superficiale. Le auto fanno parte della cultura di un popolo. A maggior ragione se parliamo di auto sportive italiane. E senza ombra di dubbio se parliamo di Alfa storiche! "" SZ. ha scritto: Nardo-Leo ha scritto: fpaol68 ha scritto: Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati.... Quando si parla dell'immenso patrimonio artistico che abbiamo in Italia chissà perchè tutti pensano agli Uffiz al Colosse a Pompei ed Ercolan ai bronzi di Riac ecc..... Ma al museo Alfa Romeo n non ci pensa nessuno.................... ... Ti ho dato una stell solo perchè non era possibile dartene meno: met una punta... ... Non proccupart dammi tutte le stelline che vuoi ho già detto diverse volte che non le guardo nemmeno. Non ho nessuna tesi particolare da esporre. Volevo semplicemente dire che quando si pensa all'arte italian o come ha scritto fpaol. all'ingegno ed al genio del popolo italiano il pensiero va subito a Dant a Giott a Leonardo (che mi onoro di avere come avatar a Botticell a Michelangel a Raffaello e atutti gli altri che sarebbe troppo lungo mensionare. Con questo non voglio dire che le auto non possono essere considerate una forma di art ma soltanto che non sono la prima cosa che si associa alla parola arte. Non c'è nessuna polemica o tentativo di screditare il museo Alfa Romeo. "" Nardo-Leo ha scritto: fpaol68 ha scritto: Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati.... Quando si parla dell'immenso patrimonio artistico che abbiamo in Italia chissà perchè tutti pensano agli Uffiz al Colosse a Pompei ed Ercolan ai bronzi di Riac ecc..... Ma al museo Alfa Romeo n non ci pensa nessuno.................... ... Ti ho dato una stell solo perchè non era possibile dartene meno: met una punta... "" fpaol68 ha scritto: Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati.... Quando si parla dell'immenso patrimonio artistico che abbiamo in Italia chissà perchè tutti pensano agli Uffiz al Colosse a Pompei ed Ercolan ai bronzi di Riac ecc..... Ma al museo Alfa Romeo n non ci pensa nessuno.................... "" Gt_junior ha scritto: Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.... Così come nessun appassionato di aut anzi nessun italian dovrebbe avvallare o giustificare fiat per la chiusura del museo. Il museo ed il suo contenuto sono frutto dell'ingegno e del genio del popolo italian ovvero patrimonio di tutti no e come tali dovrebbero essere preservati e valorizzati. ""Piccolo OT. Venerdì sono stato a Maranello e mi ha sorpreso che il museo Ferrari di Maranello pare essere in antagonismo con il MEF di Modena. I puristi preferiscono il primo. Poi ho avuto il piacere di scambiare due chiacchiere con Fabrizio Giovanard pilota detto il Piedon che corse in Alfa e il senso di rassegnazione verso quello che succede intorno al mondo Alfa E' evidente. Nessun appassionato di auto capisce e avvalla il modo di Fiat di gestire l'ALF nessuno.""","Per quanto riguarda la storia moderna e contemporanea le auto rappresentano la cultura di un popolo molto meglio di alcune ""opere"" di alcuni sedicenti ""artisti"". IMHO ",,,,,,,,,,,,,,
Alfa Romeo Giulietta (Topic Ufficiale - 2009),https://www.autopareri.com/forums/topic/36127-alfa-romeo-giulietta-topic-ufficiale-2009?&page=410#comments,2010-03-02 13:48:57,atomicstation2,,Se non erro mancava una foto del bagagliaio: dalla Gallery di Quattroruote:Quattroruote - ginevra2010 - Quattroruote ,,,,,,,,,,,,,,
Pubblicita' 147 Riposizionata.......in TV,https://www.autopareri.com/forums/topic/16660-pubblicita-147-riposizionatain-tv?&page=3#comments,2005-11-06 23:20:44,ACS,,con il mio stipendio di 4 anni fa 2 8 milioni di lire NON facevano la differenza... con il mio stipendio di adesso 1 4K euro pesano circa il doppio dal 2002... ,,,,,,,,,,,,,,
Levorg 5 stelle ncap,https://forum.quattroruote.it/threads/levorg-5-stelle-ncap.105835/,2016-08-31 00:00:00,Heniadir,,http://www.media.subaru-global.com/en/news/2290 ,,,,,,,,,,,,,,
Finalmente il grande passo! ,http://www.porschemania.it/discus/messages/771175/764149.html?1476814247,2016-10-15 13:04:00,giorman,,Scusa Marco ma per montare il poggiapiede sx hai smontato il rivestimento laterale ? Te lo chiedo xche ho acquistato i pezzi dopo avere visto le tue foto Grazie ciao,,,,,,,,,,,,,,
Attenzione a tanta pioggia perché i consumi aumentano molto,https://www.forumelettrico.it/forum/topic5551.html?sid=9b3d6660a00250109c0902db2fb0b90b,2019-05-06 13:59:00,LucaG,"""S non l'ho più guardato perché era una tratta in pianura fatta mille volte: ho guardato all'inizio la velocità che mi consigliava di tenere per arrivare con un po' di margin e poi sono andato un po' più piano e non l'ho più guardato. Infatti powerLeo mi ha appena cazziato via chat """,Ha ecco .. c'era qualcosa che non mi tornava ... ( P.S. : tutta la mia solidarietà al buon Leo certi ragazzacci vanno proprio ripresi .. ) ,,,,,,,,,,,,,,
Futuro Toyota; Facciamo il punto,https://forum.quattroruote.it/threads/futuro-toyota-facciamo-il-punto.66912/page-8,2012-08-28 00:00:00,modus72,"modus72 ha scritto: XPerience74 ha scritto: Mi riferiv e con tanto di specificazioni a corredo (vedi sopra)... esclusivamente e squisitamente al versante affidabilità ... ""Es a caso"" vedasi discorso turbine ...... Sì ok... Però non è che Toyota sia così irreprensibile come pare si voglia far passare...... Non è perfetta e ci mancherebbe ma se primeggia sempre nelle classifiche significa che è la prima delle meno peggiori .... 8)... Ma glielo stai pure a spiegà ? ' modus72 ha scritto: XPerience74 ha scritto: Mi riferiv e con tanto di specificazioni a corredo (vedi sopra)... esclusivamente e squisitamente al versante affidabilità ... ""Es a caso"" vedasi discorso turbine ...... Sì ok... Però non è che Toyota sia così irreprensibile come pare si voglia far passare...... Non è perfetta e ci mancherebbe ma se primeggia sempre nelle classifiche significa che è la prima delle meno peggiori .... 8) ' XPerience74 ha scritto: Mi riferiv e con tanto di specificazioni a corredo (vedi sopra)... esclusivamente e squisitamente al versante affidabilità ... ""Es a caso"" vedasi discorso turbine ...... Sì ok... Però non è che Toyota sia così irreprensibile come pare si voglia far passare... 'Mi riferiv e con tanto di specificazioni a corredo (vedi sopra)... esclusivamente e squisitamente al versante affidabilità ... ""Es a caso"" vedasi discorso turbine ...'",Scusa ? ,,,,,,,,,,,,,,
sandero stepway,https://forum.quattroruote.it/threads/sandero-stepway.11789/,2009-11-02 00:00:00,ilmariom,"""Ciao ilmario grazie per le risposte. Un'ultima domanda: dove si vede il numero telaio sulla stepway ? Parlo sulla macchin ho visto nella portiera lato guida ma non l'ho trovato. Grazie""",urca non lo sò ora piove appena posso ci guardo dovrebbe essere indicato anche sul libretto ti farò sapere ,,,,,,,,,,,,,,
Mercato piloti 2019,https://forum.quattroruote.it/threads/mercato-piloti-2019.117799/page-9,2018-08-14 00:00:00,ALGEPA,'La fredda ragione potrebbe essere dalla tua parte. Il mio quasi ventennale tifo romantico e viscerale per Kimi però mi impedisce di razionalizzare questa situazione nella maniera più assoluta. Non si potrebbe fargli un biennale? ',Fortunatamente lo sport vive di passioni quindi per me è giusto e sacrosanto che chi tifi per Raikkonen speri che il pilota continui in Ferrari però ti chiedo proprio a te che giustamente sei un tifoso di Kimi se sia utile per lui restarci secondo me lui in un team minore potrebbe fare ancora grandi cose e togliersi delle soddisfazioni mentre in Ferrari mi sembra che difficilmente ci riuscirebbe ,,,,,,,,,,,,,,
Vw Tuareg Ghost Driver,https://www.autopareri.com/forums/topic/13699-vw-tuareg-ghost-driver,2005-06-20 15:02:18,][v][arco,,il tizio è pazzo a stare così tranquillo...interessante cmq l'esperimento ,,,,,,,,,,,,,,
D5 215 cv in abbinata a geartronic 6m,https://forum.quattroruote.it/threads/d5-215-cv-in-abbinata-a-geartronic-6m.74745/,2013-02-18 00:00:00,cimbro,'mi interesserebbe avere qualche notizia da chi lo possiede su V60 o sul suv con speciale riferimento a consum prestazioni e in genere a impressioni . grazie. bye',Posseggo il 215cv su v60 D5 awd e devo dirti che è un gran motore. I consumi sarebbero eccezzionali se non fossero mortificati dal cambio automatico che in città con slittamento continuo del convertitore di coppia putroppo mi fanno fare circa i 10 con un litro. Faccio presente che in casa ho anche una xc70 205cv manuale che pur essendo più pesante e con il motore edizione precedente ( quindi senza le migliorie adottate per ridurre di quel -8% i consumi ) che a parità di percorso si attesta sui 12 8. In extraurbano cambiano le cose il cambio fa sentire meno i propri limiti e riesco a percorrere anche un misto che si avvicina ai 15km/l. Le prestazioni stesse a mio parere potrebbero essere meglio gestite con un cambio manuale che fa decidere al mio piede quanto tiro dare al motore non dovendo optare per la leva in drive o obbligatoriamente su sport con due comportamenti troppo opposti uno dall'altro. Purtroppo volevo la versione AWD quindi non ho potuto fare altro che abbassarmi all'abbinata con il geartronic. ,,,,,,,,,,,,,,
Che amarezza...,https://www.autopareri.com/forums/topic/42351-che-amarezza?&page=2#comments,2011-03-20 20:32:48,picpus,,Per il momento infatti tendo all'ultima del lotto hai detto bene... Alla Qubo ci ho pensato è simpatica carina comoda però mi sembra la solita macchinetta. Mi spiego: in azienda abbiamo molti Fiorino e mi capita spesso di guidarlo anche per lunghi tragitti in giro per l'Italia. E' una bella macchinetta ma è un furgone. La versione civile sarà pure un po' meglio ma rimane un furgone. Le superfici la plancia sono di qualità da furgone ottime per un furgone ma per la macchina di famiglia uno vorrebbe qualcosa di più anche la GPunto mi sembra meglio per queste cose. ,,,,,,,,,,,,,,
Mondiale F.1 - GP dell'Azerbaijan,https://forum.quattroruote.it/threads/mondiale-f-1-gp-dellazerbaijan.116225/page-6,2018-04-28 00:00:00,pilota54,,"Qualifiche FERRARI: 1° VETTEL. Raikkonen aveva 2 decimi di vantaggio al secondo settore ma ha commesso due volte ( sia nel 1° che nel 2° stint ) lo stesso errore cioè non ha tenuto conto della maggiore potenza che la monoposto ha in qualifica e ha dato troppo gas nella curva che immette nel rettilineo finale mettendo la macchina di traverso ( proprio dove occorre pulizia per ""lanciarsi"" al meglio... ) e perdendo poi nel lungo rettilineo tutto il vantaggio più 1 secondo. Così partirà addirittura 6°. Anche nel 1° tentativo del Q2 aveva fatto un piccolo errore in staccata spiattellando una gomma supersoft quella con cui avrebbe dovuto qualificarsi così partirà con la ultrasoft con strategia comunque diversa da Vettel. Peccato perchè per la seconda volta consecutiva sembrava avesse la pole in mano invece per lui sarà una gara tutta in salita. Bene Ham e le RB. GP AZERBAIJAN F1 2018 - Sabato 28 Aprile 2018 - GRIGLIA DI PARTENZA Nr Pilota Team ---Q1--- ---Q2--- ---Q3--- Gap 1 Sebastian Vettel Ferrari 1'42""762 1'43""015 1'41""498 2 Lewis Hamilton Mercedes 1'42""693 1'42""676 1'41""677 +0.179 3 Valtteri Bottas Mercedes 1'43""355 1'42""679 1'41""837 +0.339 4 Daniel Ricciardo Red Bull 1'42""857 1'43""482 1'41""911 +0.413 5 Max Verstappen Red Bull 1'42""642 1'42""901 1'41""994 +0.496 6 Kimi Raikkonen Ferrari 1'42""538 1'42""510 1'42""490 +0.992 7 Esteban Ocon Force India 1'43""021 1'42""967 1'42""523 +1.025 8 Sergio Perez Force India 1'43""992 1'43""366 1'42""547 +1.049 9 Nico Hulkenberg Renault 1'43""746 1'43""232 1'43""066 +1.568 10 Carlos Sainz Renault 1'43""426 1'43""464 1'43""351 +1.853 ------------------------------------------------------------------------- 11 Lance Stroll Williams 1'44""359 1'43""585 12 Sergey Sirotkin Williams 1'44""261 1'44""026 13 Fernando Alonso McLaren 1'44""010 1'44""061 14 Charles Leclerc Sauber 1'43""752 1'44""074 15 Kevin Magnussen Haas 1'43""674 1'44""759 ------------------------------------------------------- 16 Stoffel Vandoorne McLaren 1'44""489 17 Pierre Gasly Toro Rosso 1'44""496 18 Marcus Ericsson Sauber 1'45""541 19 Brendon Hartley Toro Rosso 1'57""354 20 Romain Grosjean Haas - -- --- ",,,,,,,,,,,,,,
Per colpa dei serbatoi AUDI che esplodono (metano) siamo al punto d'inizio,https://forum.quattroruote.it/threads/per-colpa-dei-serbatoi-audi-che-esplodono-metano-siamo-al-punto-dinizio.121973/,2019-03-31 00:00:00,giorgiotoffa77,'Ehh i trip futuristici..',Ahahah l’ho capita solo ora visto che sono andato a rileggere il post iniziale...lcd e trip futuristici ! ,,,,,,,,,,,,,,
B-max 1.0 ecoboost Titanium parere.,https://forum.quattroruote.it/threads/b-max-1-0-ecoboost-titanium-parere.81592/page-2,2014-01-16 00:00:00,Lordpkappa,"'io sto fisso a quasi 2 litri in più e non me ne esce (sono quasi a 10.000 km) e non incolpo nemmeno l'eventuale ""piede pesante"" guardando l'eco-system nello stile di guida mi da tutti petali verdi..........purtroppo sono molto deluso da questi consum se sapevo cosi avrei optato per il 1.6 TDCI anche perchè sono molto contento del resto della macchina'",tu fai di media 7.9 ? Mi sembra veramente eccessivo se fai anche extraurbano in città può anche essere. Anche se è altino si parlava di 7 7.5. io di contro sono soddisfatto da questo lato. ,,,,,,,,,,,,,,
Scénic XMod - Topic Ufficiale,https://forum.quattroruote.it/threads/sc%C3%A9nic-xmod-topic-ufficiale.14456/page-86,2010-03-26 00:00:00,FITNESS1983,""" E' poi chiaro che in condizione SOFT e con una temperatura interna abbastanza vicina a quella impostat la prima uscita di aria non è caldissim a maggior ragione a motore freddo.... In effetti devo provare senza impostare SOFT e vedere come reagisc non ero a motore freddo ed ero in viaggio da parecchi chilometri tant'è che mi ha costretto ad alzare la temperatura per avere un comfort accetabile. Comunque farò delle altre prove e vi dirò. Vorrei chiedere se a qualcuno è capitato di impostare le chiamate vocali. Ho un HTC con Andoid e viene correttamente riconosciut vedo la rubrica e le chiamate pers effettuate e ricevute. Ho seguito il manuale ma non riesco ad associare ad un contatto la chiamata vocale. Sarà un problema di compatibilità? Non trovo proprio le voci modifica contatto. Se premo il tasto di chiamata vocale mi dice correttamente che non c'è nessuna associazione. Qualcuno sà dirmi dove sbaglio? ""E' poi chiaro che in condizione SOFT e con una temperatura interna abbastanza vicina a quella impostat la prima uscita di aria non è caldissim a maggior ragione a motore freddo.""",devi andare nella rubrica del veicolo. ,,,,,,,,,,,,,,
E' nata Alfa-Maserati alla guida l'ex di BMW,https://www.autopareri.com/forums/topic/11586-e-nata-alfa-maserati-alla-guida-lex-di-bmw?&page=6#comments,2005-02-26 09:27:34,bialbero,,si ma è l'unico AD che le ha dette...in alfa romeo ,,,,,,,,,,,,,,
ACQUISTATA!,https://www.autopareri.com/forums/topic/20425-acquistata?&page=4#comments,2007-01-12 09:54:29,Laura81,,"Ciao a tutti ! E' il primo messaggio che lascio sul forum...non sono un'esperta di macchine motori ecc ma stavo cercando informazioni sulle immatricolazioni delle nuove vetture e Google mi ha segnalato ""Autopareri""...ed eccomi qui. Ho acquistato la Nuova Opel Corsa e il concessionario mi ha detto che per mercoledì prossimo dovrebbe essere pronta...non vedo l'ora. Ho letto le vostre segnalazioni di difetti ma non mi sembrano catastrofiche e quindi continuo ad essere entusiasta del mio acquisto. La versione che ho scelto è la Enjoy 1.2 benzina 16v 80 cv azzurra con interni blu cerchi in lega e fendinebbia ( gentilmente regalati da Opel ) . Non mi resta che attendere la prox settimana per poter finalmente guidare la Mia Nuova Opel...vi farò sapere come va. Intanto grazie per le informazioni che ""indirettamente"" mi avete dato con i vs. messaggio sul forum. Ciao ",,,,,,,,,,,,,,
Peugeot 508 2010 [Sedan Wagon] (Topic Ufficiale),https://www.autopareri.com/forums/topic/38965-peugeot-508-2010-sedan-wagon-topic-ufficiale?&page=11#comments,2010-08-24 21:24:36,A.Masera,,oscena. ,,,,,,,,,,,,,,
CAMBIO AUTOVETTURA,https://forum.quattroruote.it/threads/cambio-autovettura.82026/,2013-10-14 00:00:00,godzilla75,"""Mi trovo frequentemente a velocità autostradali sulle statali... In compenso l'allungo è proprio scars anche la V50 allungava di più m a parte i sorpassi tirati e nei brevi rettilinei di montagn non è un grosso problema.""",Ciao Flagh chiedi al tuo concessionario Volvo l'aggiornamento della centralina ti posso garantire che il mio adesso sembra quasi un altro motore lo hanno reso più elastico e rotondo in basso e sono riusciti a tirargli fuori anche un bel allungo unica nota dolente sono i consumi che mi sembrano peggiorati ulteriormente non di molto ma sulla XC60 si sentono tutti. ,,,,,,,,,,,,,,
Audi A1 2011,https://www.autopareri.com/forums/topic/37039-audi-a1-2011?&page=76#comments,2010-05-14 10:38:21,TonyH,,Si ma tientelo per te....cazzo me frega a me ? :lol: I peggiori sono quelli che poi guardano con disprezzo la tua..... ,,,,,,,,,,,,,,
Dubbio tremendo,https://forum.quattroruote.it/threads/dubbio-tremendo.113853/page-2,2017-12-27 00:00:00,Triskoda,,Outdoor...almeno se non è 4x4 è più alta da terra e paraurti neri molto meno delicati...anche io quando ho preso il Roomster allestimento style avevo aggiunto climatronic e altre cose...effettivamente comode e sfiziose..ma che poi al momento di una valutazione per permuta non influiscono sul valore di quest’ultima...quindi visto che quest’allestimento mi sembra già abbastanza completo e con un buon rapporto qualità prezzo... Chiaramente se con stesso prezzo e condizioni trovassi allestimento superiore lo prenderei... ,,,,,,,,,,,,,,
Incredibile intervento d'assistenza a S. Lefebvre durante un rally in Polonia nel 2016,https://forum.quattroruote.it/threads/incredibile-intervento-dassistenza-a-s-lefebvre-durante-un-rally-in-polonia-nel-2016.117663/,2018-07-26 00:00:00,pilota54,,Attenzione a scanso di equivoci non è un miracolo di S.Lefebvre ma Stéphane Lefebvre è il pilota. Bravissimi i meccanici che hanno fatto quasi..........un miracolo ! ,,,,,,,,,,,,,,
la batcaverna 635csi &co,https://www.bmwpassion.com/forum/threads/la-batcaverna-635csi-co.85405/page-55,2007-08-25 00:00:00,CRISTIAN JO,'Lo dirò subito al perito: guard il danno è se tu arrivi a x-to metto diversi pezzi usati amio carico e siamo a post se fai il dur no probl tutto nuovo e poi manda tutto al legale',io farei questa :wink:e cosi si imparano una volta per tutte :wink: ,,,,,,,,,,,,,,
RIASSUNTO problemi e guasti  GOLF 7,https://forum.quattroruote.it/threads/riassunto-problemi-e-guasti-golf-7.82219/page-5,2017-05-03 00:00:00,MB18,,Volkswagen Golf MK7 1.4TSI 125CV 25/11/2015 odore di Benzina 2m Fuori e in abitacolo rumore metallico nel motore ( sostituita 4 Volte la pompa ad alta pressione della benzina ma non è quella ) dischi posteriori rigati dopo 35.000 KM tessuti dei sedili sportivi che si sfilacciano dopo 1000 km contattato più volte VW Italia e Germania ma niente da fare pagata 28000 € ,,,,,,,,,,,,,,
Comportamento anomalo Ford focus 1.6 tdci 90 cv ( anno 2006 ),https://forum.quattroruote.it/threads/comportamento-anomalo-ford-focus-1-6-tdci-90-cv-anno-2006.48095/page-4,2011-04-08 00:00:00,lucairav,,edilnero a prima vista hai ragione ma proprio perchè potrei passare per quello che non sono e capisco che la situazione si presta ( cioè quello che gli capita il caso su un milione della casa automobilistica perfetta e spara a zero perchè danneggiato e inc...9 ) ti assicuro purtroppo che non è cosi chiudo qui la discussione .Non ho 20 anni e neanche 50 ma tra le mie e le auto di famiglia etc sono passati marchi fiat opel peugeot nissan koreane giapponesi etc e mai dico mai qualcosa del genere è successo ci stanno i problemini le macchine uscite un pò male il difetto e la riparazione da 2000 euro che ti appare una cosa grave ma una macchina che a 70000 km è finita un cambio di motore e l assenza della casa poi e qualcosa che va oltre le mormali delusioni su un marchio e qualcosa di grave e dovevo forse andare a fondo ma non credevo ed ero esausto per intraprendere battaglie legali perse contro un colosso poi..E ripeto non è un caso isolato . Per il rischio di essere frainteso e apparire come la mosca bianca che spara a zero perche inc..ta chiudo qua la discussione. Un ultima considerazione i kilometraggi dei diesel data la moda del diesel ha spinto molti negli ultimi anni ad acquistarle pur facendo pochi kilometri be cè da dire che non lo dico io ( ma tutte le riviste di settore ) consigliano i diesel solo se si fanno 20/25000 km all anno meno non conviene . A volte mi sono scontrato con persone che mi attaccavano dicendo che la loro ford focus o altre avevano 9/10 anni e 130000 km ovvero 10000km all anno di media +o -ed era un ottimo risultato ...be io dico che i diesel devono fare il doppio mio padre ad es ha dato via una opel 9 anni 250000 km e andava ancora bene . Il diesel deve durare se intorno ai 100000piu o meno escono fuori tutti questi problemi tirate fuori voi le conclusioni.saluti ,,,,,,,,,,,,,,
Maserati Ghibli 2013,https://www.autopareri.com/forums/topic/51327-maserati-ghibli-2013?&page=157#comments,2014-01-15 22:07:12,f4shamal,,cerchio ? E.. Hai aggiunto qualche pacchetto ? ,,,,,,,,,,,,,,
147 1.9 150cv VS skoda octavia 2.0 170cv,https://www.bmwpassion.com/forum/threads/147-1-9-150cv-vs-skoda-octavia-2-0-170cv.38783/page-4,2004-12-12 00:00:00,Twin Spark,'non puoi non tenere conto del prezzo però.',Peccato ke nn ci sono le patatine fritte ! ! ,,,,,,,,,,,,,,
Fiat Bravo (Topic Ufficiale - 2007),https://www.autopareri.com/forums/topic/23380-fiat-bravo-topic-ufficiale-2007?&page=83#comments,2007-04-26 16:18:15,Kikky,,Ho ordinato circa un mese fa una bravo 1.9 multijet 120Cv dynamic rosso maranello con interni del pacchetto sport... e tra poco dovrebbe arrivarmi ( a detta loro si spera... ! ! ) Ho deciso di far ricadere la mia scelta su una fiat dopo una breve ma intensa carriera con la mia vecchia multipla del 99 ( con una guidabilità comodissima in quanto alta ) finita in una carrozzeria aci perchè un mona mi è arrivato addosso e ho fatto un frontale... e non mi sono fatta niente ! ( a parte qualche botta air bag cinture ) . Sta di fatto che la mia nuova bravo sarà equipaggiata di tutti i dispositivi di sicurezza a disposizione... Non vedo l'ora di provarla... quando mi arriverà vedremo ! ciao ! ! ,,,,,,,,,,,,,,
